SNR_dB,BER_Simulated,BER_Theoretical
0,0.15826,0.07864960352514258
1,0.13124,0.05628195197654147
2,0.10555,0.037506128358925986
3,0.07856,0.022878407561085327
4,0.05641,0.012500818040737553
5,0.03744,0.005953867147778662
6,0.02304,0.002388290780932807
7,0.01295,0.0007726748153784446
8,0.0065,0.00019090777407599314
9,0.00246,3.3627228419617505e-05
10,0.00065,3.872108215522035e-06
11,0.00018,2.613067953575199e-07
12,3e-05,9.006010350628754e-09
13,0.0,1.3329310175300506e-10
14,0.0,6.810189128780772e-13
15,0.0,9.123957362628105e-16
