SNR_dB,BER_Simulated,BER_Theoretical
0,0.159155,0.1449276867809609
1,0.130625,0.1062285877165035
2,0.103185,0.07219883738889951
3,0.07956,0.0447099720571084
4,0.055635,0.024689095178099845
5,0.03823,0.011836837227530528
6,0.02318,0.004765173696157037
7,0.01247,0.0015441555780162488
8,0.00632,0.000381742656595581
9,0.00232,6.725219525825264e-05
10,0.00085,7.744186444600006e-06
11,0.000195,5.226134541525573e-07
12,4e-05,1.8012020539041063e-08
13,0.0,2.66586203470476e-10
14,0.0,1.3620378257552269e-12
15,0.0,1.8247914725256194e-15
